20	nyg	reg	28	la	W	12	Mon	9/19/2011
3	buf	reg	18	ne	W	3	Sun	9/25/2011
4	car	reg	14	jax	W	6	Sun	9/25/2011
5	chi	reg	11	gb	L	-10	Sun	9/25/2011
6	cin	reg	26	sf	L	-5	Sun	9/25/2011
7	cle	reg	16	mia	W	1	Sun	9/25/2011
13	ind	reg	24	pit	L	-3	Sun	9/25/2011
17	min	reg	10	det	L	-3	Sun	9/25/2011
19	no	reg	12	hou	W	7	Sun	9/25/2011
22	oak	reg	21	nyj	W	10	Sun	9/25/2011
23	phi	reg	20	nyg	L	-13	Sun	9/25/2011
25	sd	reg	15	kc	W	3	Sun	9/25/2011
27	sea	reg	0	ari	W	3	Sun	9/25/2011
28	la	reg	2	bal	L	-30	Sun	9/25/2011
29	tb	reg	1	atl	W	3	Sun	9/25/2011
30	ten	reg	9	den	W	3	Sun	9/25/2011
8	dal	reg	31	wsh	W	2	Mon	9/26/2011
0	ari	reg	20	nyg	L	-4	Sun	10/2/2011
2	bal	reg	21	nyj	W	17	Sun	10/2/2011
5	chi	reg	4	car	W	5	Sun	10/2/2011
6	cin	reg	3	buf	W	3	Sun	10/2/2011
7	cle	reg	30	ten	L	-18	Sun	10/2/2011
8	dal	reg	10	det	L	-4	Sun	10/2/2011
11	gb	reg	9	den	W	26	Sun	10/2/2011
12	hou	reg	24	pit	W	7	Sun	10/2/2011
14	jax	reg	19	no	L	-13	Sun	10/2/2011
15	kc	reg	17	min	W	5	Sun	10/2/2011
22	oak	reg	18	ne	L	-12	Sun	10/2/2011
23	phi	reg	26	sf	L	-1	Sun	10/2/2011
25	sd	reg	16	mia	W	10	Sun	10/2/2011
27	sea	reg	1	atl	L	-2	Sun	10/2/2011
28	la	reg	31	wsh	L	-7	Sun	10/2/2011
29	tb	reg	13	ind	W	7	Mon	10/3/2011
1	atl	reg	11	gb	L	-11	Sun	10/9/2011
3	buf	reg	23	phi	W	7	Sun	10/9/2011
4	car	reg	19	no	L	-3	Sun	10/9/2011
9	den	reg	25	sd	L	-5	Sun	10/9/2011
12	hou	reg	22	oak	L	-5	Sun	10/9/2011
13	ind	reg	15	kc	L	-4	Sun	10/9/2011
14	jax	reg	6	cin	L	-10	Sun	10/9/2011
17	min	reg	0	ari	W	24	Sun	10/9/2011
18	ne	reg	21	nyj	W	9	Sun	10/9/2011
